saison,heure,bus,load_mode,alpha,P_pv_available,Q_pv_max,S_inv_max,P_hp_max,P_load,Q_load
Été,7,0,fixed,1.0,0.028567095259315875,0.0357561043406299,0.11451117950654252,-0.01365253194067048,-0.3626187351040513,-0.1756242690392338
Été,7,1,fixed,1.0,0.005459978008910691,0.006834114836666951,0.02188668383374866,-0.0026094277554667713,-0.06930783214020408,-0.03356731514389221
Été,7,2,fixed,1.0,0.009235018079079706,0.011559093993422198,0.037018727616523354,-0.004413537292738217,-0.1172259707856573,-0.05677512891257016
Été,7,3,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,4,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,5,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,6,fixed,1.0,0.0056934345316124145,0.006954575394786602,0.02227246636930926,-0.002655422464556228,-0.070529476836146,-0.03415898467439479
Été,7,7,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,8,fixed,1.0,0.012040866528332066,0.014707763517958288,0.04710254037464946,-0.005615774282675006,-0.1491580445197233,-0.0722405380752905
Été,7,9,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,10,fixed,1.0,0.021750462978973838,0.02656880744806888,0.08508828170924233,-0.01014460325025145,-0.2694462254126007,-0.1304987630324452
Été,7,11,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,12,fixed,1.0,0.00794356906735094,0.010449535713498345,0.03346529723845626,-0.0039898815244144075,-0.1059734412551115,-0.05132528012558613
Été,7,13,fixed,1.0,0.014657305940604628,0.017903596838709707,0.05733739816506357,-0.0068360195329116,-0.1815684275227013,-0.08793760298989377
Été,7,14,fixed,1.0,0.020798596840667868,0.02540589940550759,0.08136399535123379,-0.009700577272368569,-0.2576526519455737,-0.1247868747073349
Été,7,15,fixed,1.0,0.007896242479800086,0.009883346276536788,0.03165203985356435,-0.003773696917194646,-0.1002314595362871,-0.04854431145358464
Été,7,16,fixed,1.0,0.026782788036593175,0.032719367579428116,0.1047858384832769,-0.0124930335447391,-0.3318218218637102,-0.1607086431961631
Été,7,17,fixed,1.0,0.026500430956934523,0.0323749574029464,0.10368284316904287,-0.012361529539428163,-0.3283290033686358,-0.1590169939908121
Été,7,18,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,19,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,20,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,21,fixed,1.0,0.03293973346977166,0.04024501879847234,0.12888721120100796,-0.01536650635552285,-0.4081428354698586,-0.1976725971492513
Été,7,22,fixed,1.0,0.020631146443897436,0.02520532488576868,0.08072164280031112,-0.009623993145330195,-0.2556185355343185,-0.1238017071655505
Été,7,23,fixed,1.0,0.02921655860758544,0.035693309601010276,0.1143100753920633,-0.01362855541402776,-0.3619819054082004,-0.1753158383405161
Été,7,24,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,25,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,26,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,27,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,28,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,29,fixed,1.0,0.028918995314550885,0.039438269817988855,0.12630354670442887,-0.015058470387196217,-0.3999612312306914,-0.1937100653631875
Été,7,30,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,31,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,32,fixed,1.0,0.02534767329043887,0.03096887622343089,0.09917977950152491,-0.011824654268239908,-0.3140693017548289,-0.1521107052908534
Été,7,33,fixed,1.0,0.03183206968820273,0.03888960929842265,0.12454642678315134,-0.014848978737977293,-0.3943970181466459,-0.1910151939705562
Été,7,34,fixed,1.0,0.009039062146643793,0.011042116083812966,0.03536307325204857,-0.004216142818320012,-0.1119830652981538,-0.05423587389139652
Été,7,35,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,36,fixed,1.0,0.008063844939199748,0.009798881566513724,0.03138153629201084,-0.0037414462799198528,-0.099374864924701,-0.04812944374830847
Été,7,37,fixed,1.0,0.02171210360103393,0.02638398772600381,0.08449638489162135,-0.010074034680064906,-0.2675718854901343,-0.1295909787760147
Été,7,38,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,39,fixed,1.0,0.011924364217508372,0.01449337438298186,0.04641594564705656,-0.0055339154066320565,-0.1469838278823458,-0.07118751689710238
Été,7,40,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,41,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,42,fixed,1.0,0.016799396581674852,0.02041789455374394,0.06538959518955918,-0.0077960382624647035,-0.2070670514336041,-0.100287150192891
Été,7,43,fixed,1.0,0.03014850671097773,0.03664474447366771,0.11735710558455155,-0.0139918359007575,-0.3716308343510799,-0.1799890279155623
Été,7,44,fixed,1.0,0.023296471528963626,0.028309864959171635,0.09066412820766961,-0.010809380460163125,-0.2871030726576204,-0.1390503644549536
Été,7,45,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,7,46,fixed,1.0,0.023372002698236992,0.02840510863042345,0.09096915207245306,-0.010845746761467222,-0.288068981562768,-0.1395181754889763
Été,7,47,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
