scenario,scenario_key,cos_phi,area_MW_MVAr,P_min_MW,P_max_MW,Q_min_MVAr,Q_max_MVAr,P_span_MW,Q_span_MVAr,n_valid,n_rejected
Sans BelalpSolar,without_belalp,0.9,16.519569565869574,8.48426977818599,15.273696663076407,2.450467021703844,5.096779311808859,6.789426884890418,2.6463122901050156,36,0
Sans BelalpSolar,without_belalp,0.925,13.895727002866579,8.485025924674119,15.166825148480712,2.646724862666815,4.904351442482948,6.681799223806593,2.257626579816133,36,0
Sans BelalpSolar,without_belalp,0.95,11.016522158494581,8.485938018791785,15.047452579132369,2.86585495869258,4.689782618022946,6.561514560340584,1.8239276593303657,36,0
Sans BelalpSolar,without_belalp,0.975,7.5513769608980965,8.487156166556815,14.900455236667767,3.1349807965179934,4.426662465706613,6.413299070110952,1.2916816691886197,36,0
Sans BelalpSolar,without_belalp,1.0,0.0010903604884333618,8.490311686502537,14.563950973373721,3.743992203210837,3.8319093168884137,6.073639286871185,0.08791711367757671,36,0
Avec BelalpSolar,with_belalp,0.9,38.28419209057347,7.096009401629999,15.760548585069046,-0.256086204298299,5.497435028411928,8.664539183439047,5.753521232710227,36,0
Avec BelalpSolar,with_belalp,0.925,35.901495431663875,7.096493309138168,15.761404301974835,-0.1051839630554241,5.346248716746231,8.664910992836667,5.4514326798016555,36,0
Avec BelalpSolar,with_belalp,0.95,32.368001682042575,7.097079930881591,15.752757369151368,0.31196817505406216,5.177534714204739,8.655677438269777,4.865566539150677,36,0
Avec BelalpSolar,with_belalp,0.975,23.999181401656642,7.097867225475056,15.567826514165063,1.3017205019705216,4.970463873727567,8.469959288690006,3.6687433717570457,36,0
Avec BelalpSolar,with_belalp,1.0,0.002206865670927982,7.1032997017828166,13.160741278792557,3.7136600053945585,3.782442693894154,6.05744157700974,0.06878268849959568,36,0
