scenario,scenario_key,sample_id,alpha,cos_phi,area_MW_MVAr,P_min_MW,P_max_MW,Q_min_MVAr,Q_max_MVAr,P_span_MW,Q_span_MVAr,n_valid,n_rejected
Without BelalpSolar,without_belalp,0,0.7739560485559633,0.9438878439752052,35.02110711881551,7.80447729687512,15.719833388782718,1.3301613340881886,6.194957406250069,7.915356091907597,4.86479607216188,18,0
With BelalpSolar,with_belalp,0,0.7739560485559633,0.9438878439752052,56.1294803499639,6.420079994521075,15.756439514141675,-1.1139278391092375,6.476215016860806,9.3363595196206,7.5901428559700435,18,0
Without BelalpSolar,without_belalp,1,0.8585979199113825,0.9697368029059363,28.123474805839408,7.684456837705511,15.58600654079055,1.809569648102297,5.717008701461964,7.901549703085038,3.907439053359667,18,0
With BelalpSolar,with_belalp,1,0.8585979199113825,0.9697368029059363,47.84625603614998,6.300372229823552,15.738687429300626,-0.15562722077720537,6.122669896505613,9.438315199477074,6.278297117282818,18,0
Without BelalpSolar,without_belalp,2,0.09417734788764953,0.9975622351636756,0.6754597112642386,8.78420208337775,14.597044457474112,3.689584669033138,3.889229120528398,5.812842374096363,0.19964445149526,18,0
With BelalpSolar,with_belalp,2,0.09417734788764953,0.9975622351636756,6.761885847849896,7.392891141433211,13.93942717777827,3.085357358428155,4.352840300946809,6.54653603634506,1.2674829425186545,18,0
Without BelalpSolar,without_belalp,3,0.761139701990353,0.9786064305276954,20.098761076508083,7.82512889753707,15.340323943459225,2.310449983059698,5.226170672339322,7.515195045922155,2.915720689279624,18,0
With BelalpSolar,with_belalp,3,0.761139701990353,0.9786064305276954,37.42165103811371,6.439780774555402,15.731143646786222,0.638144392484719,5.713321126088886,9.29136287223082,5.075176733604167,18,0
Without BelalpSolar,without_belalp,4,0.12811363267554587,0.9450385937895567,4.650608648015293,8.733897468875512,14.783555776502908,3.352687263957705,4.217249149886811,6.049658307627396,0.8645618859291062,18,0
With BelalpSolar,with_belalp,4,0.12811363267554587,0.9450385937895567,25.311910951974795,7.343285527025728,15.755925215955358,0.658523815769513,4.7631763075551135,8.41263968892963,4.1046524917856,18,0
Without BelalpSolar,without_belalp,5,0.37079802423258124,0.9926764988848602,5.013659593955481,8.386994902662991,14.787484595595743,3.3405401863792576,4.224646203222619,6.4004896929327515,0.8841060168433614,18,0
With BelalpSolar,with_belalp,5,0.37079802423258124,0.9926764988848602,15.279370661832047,6.997751934672124,14.688392527466931,2.3257580904546558,4.828877928557631,7.690640592794807,2.5031198381029753,18,0
Without BelalpSolar,without_belalp,6,0.6438651200806645,0.982276161327083,14.887188200337619,7.993810409690923,15.16502833461709,2.6431668056202398,4.901821676789041,7.171217924926168,2.258654871168801,18,0
With BelalpSolar,with_belalp,6,0.6438651200806645,0.982276161327083,30.567039788398034,6.607286528986151,15.541295345541585,1.1076851670486576,5.429368884782889,8.934008816555433,4.321683717734231,18,0
Without BelalpSolar,without_belalp,7,0.44341419882733113,0.9227238721784777,21.957373218851785,8.278131986629887,15.450524371091888,2.0924916835929253,5.4457079123058065,7.172392384462,3.3532162287128813,18,0
With BelalpSolar,with_belalp,7,0.44341419882733113,0.9227238721784777,43.56052154077338,6.891155405181053,15.759101226918574,-0.5291549618705176,5.806823111499398,8.867945821737521,6.335978073369915,18,0
Without BelalpSolar,without_belalp,8,0.5545847870158348,0.9063817256104175,31.98014413589999,8.11758701348299,15.720051149372011,1.4395006363920402,6.086726295284279,7.602464135889022,4.647225658892239,18,0
With BelalpSolar,with_belalp,8,0.5545847870158348,0.9063817256104175,52.63718577591939,6.732006927886687,15.75678611031617,-1.029780796094201,6.3368920362745484,9.024779182429484,7.366672832368749,18,0
Without BelalpSolar,without_belalp,9,0.8276311719925821,0.9631664399122065,29.987618370767507,7.728351509118511,15.651314062622987,1.678265837991603,5.847228491189526,7.922962553504476,4.168962653197923,18,0
With BelalpSolar,with_belalp,9,0.8276311719925821,0.9631664399122065,50.70384506171186,6.344199585295428,15.74456600252961,-0.48276377163892903,6.217053818835666,9.400366417234181,6.699817590474595,18,0
Without BelalpSolar,without_belalp,10,0.7580877400853738,0.9354525968129869,36.97923457643111,7.826977470449492,15.720093562980765,1.193378344390112,6.332189923385158,7.893116092531272,5.138811578995046,18,0
With BelalpSolar,with_belalp,10,0.7580877400853738,0.9354525968129869,57.792077740053145,6.442509051681554,15.756018583630066,-1.220682537209541,6.579483282189358,9.313509531948512,7.800165819398899,18,0
Without BelalpSolar,without_belalp,11,0.9706980243949033,0.9893121121322198,18.63323324435828,7.526568539142318,15.262902144051623,2.457298866925157,5.07867081344375,7.736333604909305,2.621371946518593,18,0
With BelalpSolar,with_belalp,11,0.9706980243949033,0.9893121121322198,32.60655194954467,6.1423138298450795,15.33698689859375,1.26282710607029,5.649699645248802,9.19467306874867,4.386872539178512,18,0
Without BelalpSolar,without_belalp,12,0.7783834970737619,0.9194638707851968,43.034299345174645,7.797752670252521,15.719309597741812,0.7876829547412854,6.707755336355149,7.921556927489291,5.920072381613863,18,0
With BelalpSolar,with_belalp,12,0.7783834970737619,0.9194638707851968,63.18968257240073,6.413391610014514,15.754884902966296,-1.5375884894901901,6.903087892939766,9.341493292951782,8.440676382429956,18,0
Without BelalpSolar,without_belalp,13,0.4667210037270342,0.9043803765787229,26.491872263287235,8.243923016576446,15.603750859987485,1.7811265361924598,5.7514775023200855,7.35982784341104,3.9703509661276257,18,0
With BelalpSolar,with_belalp,13,0.4667210037270342,0.9043803765787229,47.62650079978263,6.857432649554539,15.757940722760395,-0.7682944999023675,6.052512675954858,8.900508073205856,6.820807175857226,18,0
Without BelalpSolar,without_belalp,14,0.15428949206754783,0.9683048953242455,4.194795081404891,8.696680552086036,14.761295666383376,3.392442811120418,4.177951779576688,6.0646151142973395,0.7855089684562699,18,0
With BelalpSolar,with_belalp,14,0.15428949206754783,0.9683048953242455,21.14289405171533,7.30614163726932,15.652412796367571,1.3243547308175039,4.738676992381443,8.34627115909825,3.414322261563939,18,0
Without BelalpSolar,without_belalp,15,0.7447621559078171,0.996750973243421,7.293264746489854,7.852196681407804,14.86065436966237,3.1990959930026293,4.356029987328839,7.008457688254566,1.1569339943262094,18,0
With BelalpSolar,with_belalp,15,0.7447621559078171,0.996750973243421,15.777114448935208,6.465378644781595,14.32242193822458,2.5149021974939387,4.913103450051494,7.857043293442985,2.3982012525575556,18,0
Without BelalpSolar,without_belalp,16,0.32582535813815194,0.9370459706034869,13.727878640382414,8.448184660872357,15.158069645684009,2.662283985232534,4.8886410085233365,6.7098849848116515,2.2263570232908023,18,0
With BelalpSolar,with_belalp,16,0.32582535813815194,0.9370459706034869,35.60420158092427,7.0597767044564534,15.76147620636766,-0.09280925217535696,5.340271904648944,8.701699501911207,5.433081156824301,18,0
Without BelalpSolar,without_belalp,17,0.4695558112758079,0.9189471359084286,24.136108867165888,8.240343777717499,15.521805171902088,1.9472474845761099,5.588021834554638,7.281461394184589,3.6407743499785283,18,0
With BelalpSolar,with_belalp,17,0.4695558112758079,0.9189471359084286,45.57214132280296,6.853689570532879,15.758548612884624,-0.6404689139972106,5.924974515090071,8.904859042351745,6.565443429087281,18,0
Without BelalpSolar,without_belalp,18,0.12992150533547164,0.9475704926225934,4.598107777368568,8.731335117488925,14.781035943138704,3.357199090965878,4.21281034259664,6.049700825649779,0.8556112516307621,18,0
With BelalpSolar,with_belalp,18,0.12992150533547164,0.9475704926225934,24.96158430753289,7.340725852151081,15.753844022303383,0.7229169093288874,4.7601262095968195,8.413118170152302,4.037209300267932,18,0
Without BelalpSolar,without_belalp,19,0.2269093490508841,0.966981399468251,6.462197595582552,8.591985174418369,14.858808817189129,3.212785210095717,4.351992569690992,6.26682364277076,1.1392073595952752,18,0
With BelalpSolar,with_belalp,19,0.2269093490508841,0.966981399468251,24.198111246645112,7.202157313822681,15.73913134698887,1.109069524853112,4.893638113378984,8.536974033166189,3.7845685885258717,18,0
Without BelalpSolar,without_belalp,20,0.43715191887233074,0.9832678196057838,9.253886753385473,8.290658680634806,14.961759227557195,3.0198653142570038,4.536724713650074,6.671100546922389,1.51685939939307,18,0
With BelalpSolar,with_belalp,20,0.43715191887233074,0.9832678196057838,23.718680152249703,6.902339049280272,15.336548019920883,1.5155489233120534,5.090978540426477,8.434208970640611,3.5754296171144233,18,0
Without BelalpSolar,without_belalp,21,0.7002651020022491,0.9312366641382042,34.96400885137331,7.909557353781565,15.720111699589324,1.3022804589591033,6.223199580213077,7.810554345807759,4.920919121253974,18,0
With BelalpSolar,with_belalp,21,0.7002651020022491,0.9312366641382042,55.81104307609823,6.524773024262686,15.75635100271029,-1.1359455543988588,6.479893141339744,9.231577978447604,7.615838695738603,18,0
Without BelalpSolar,without_belalp,22,0.8322598013952011,0.9804764357496802,21.30751676807722,7.723393439453503,15.370431373768952,2.2478528190913494,5.286464459852141,7.647037934315449,3.0386116407607915,18,0
With BelalpSolar,with_belalp,22,0.8322598013952011,0.9804764357496802,38.29662639285587,6.338565058165841,15.730070488029014,0.6510235547648335,5.778358984028273,9.391505429863173,5.127335429263439,18,0
Without BelalpSolar,without_belalp,23,0.38747837903017446,0.9288328103930245,17.918669077059178,8.358968180378724,15.316487300344306,2.366311283608411,5.177786732102504,6.957519119965582,2.811475448494093,18,0
With BelalpSolar,with_belalp,23,0.38747837903017446,0.9288328103930245,39.71236143957003,6.971322545770818,15.760201204535406,-0.3194339208321253,5.582656990146461,8.788878658764588,5.902090910978586,18,0
Without BelalpSolar,without_belalp,24,0.6824955039749755,0.913975248360931,38.51487798240487,7.934677539546101,15.719427631967847,1.0487587644347514,6.46964678110362,7.784750092421746,5.420888016668869,18,0
