Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Switzerland,CHE,2024-01-01 00:00:00,2024-01-01 01:00:00,21.99
Switzerland,CHE,2024-01-01 01:00:00,2024-01-01 02:00:00,14.32
Switzerland,CHE,2024-01-01 02:00:00,2024-01-01 03:00:00,11.37
Switzerland,CHE,2024-01-01 03:00:00,2024-01-01 04:00:00,11.35
Switzerland,CHE,2024-01-01 04:00:00,2024-01-01 05:00:00,11.39
Switzerland,CHE,2024-01-01 05:00:00,2024-01-01 06:00:00,11.34
Switzerland,CHE,2024-01-01 06:00:00,2024-01-01 07:00:00,8.31
Switzerland,CHE,2024-01-01 07:00:00,2024-01-01 08:00:00,8.51
Switzerland,CHE,2024-01-01 08:00:00,2024-01-01 09:00:00,10.63
Switzerland,CHE,2024-01-01 09:00:00,2024-01-01 10:00:00,9.75
Switzerland,CHE,2024-01-01 10:00:00,2024-01-01 11:00:00,8.24
Switzerland,CHE,2024-01-01 11:00:00,2024-01-01 12:00:00,10.71
Switzerland,CHE,2024-01-01 12:00:00,2024-01-01 13:00:00,9.31
Switzerland,CHE,2024-01-01 13:00:00,2024-01-01 14:00:00,11.51
Switzerland,CHE,2024-01-01 14:00:00,2024-01-01 15:00:00,20.41
Switzerland,CHE,2024-01-01 15:00:00,2024-01-01 16:00:00,29.09
Switzerland,CHE,2024-01-01 16:00:00,2024-01-01 17:00:00,42.1
Switzerland,CHE,2024-01-01 17:00:00,2024-01-01 18:00:00,48.83
Switzerland,CHE,2024-01-01 18:00:00,2024-01-01 19:00:00,43.31
Switzerland,CHE,2024-01-01 19:00:00,2024-01-01 20:00:00,42.59
Switzerland,CHE,2024-01-01 20:00:00,2024-01-01 21:00:00,35.0
Switzerland,CHE,2024-01-01 21:00:00,2024-01-01 22:00:00,34.01
Switzerland,CHE,2024-01-01 22:00:00,2024-01-01 23:00:00,26.07
Switzerland,CHE,2024-01-01 23:00:00,2024-01-02 00:00:00,22.24
Switzerland,CHE,2024-01-02 00:00:00,2024-01-02 01:00:00,14.0
Switzerland,CHE,2024-01-02 01:00:00,2024-01-02 02:00:00,11.32
Switzerland,CHE,2024-01-02 02:00:00,2024-01-02 03:00:00,9.66
Switzerland,CHE,2024-01-02 03:00:00,2024-01-02 04:00:00,10.01
Switzerland,CHE,2024-01-02 04:00:00,2024-01-02 05:00:00,11.36
Switzerland,CHE,2024-01-02 05:00:00,2024-01-02 06:00:00,19.89
Switzerland,CHE,2024-01-02 06:00:00,2024-01-02 07:00:00,40.56
Switzerland,CHE,2024-01-02 07:00:00,2024-01-02 08:00:00,48.36
Switzerland,CHE,2024-01-02 08:00:00,2024-01-02 09:00:00,51.81
Switzerland,CHE,2024-01-02 09:00:00,2024-01-02 10:00:00,51.89
Switzerland,CHE,2024-01-02 10:00:00,2024-01-02 11:00:00,55.87
Switzerland,CHE,2024-01-02 11:00:00,2024-01-02 12:00:00,58.49
Switzerland,CHE,2024-01-02 12:00:00,2024-01-02 13:00:00,61.17
Switzerland,CHE,2024-01-02 13:00:00,2024-01-02 14:00:00,64.98
Switzerland,CHE,2024-01-02 14:00:00,2024-01-02 15:00:00,67.44
Switzerland,CHE,2024-01-02 15:00:00,2024-01-02 16:00:00,72.51
Switzerland,CHE,2024-01-02 16:00:00,2024-01-02 17:00:00,75.8
Switzerland,CHE,2024-01-02 17:00:00,2024-01-02 18:00:00,67.84
Switzerland,CHE,2024-01-02 18:00:00,2024-01-02 19:00:00,60.03
Switzerland,CHE,2024-01-02 19:00:00,2024-01-02 20:00:00,48.26
Switzerland,CHE,2024-01-02 20:00:00,2024-01-02 21:00:00,33.12
Switzerland,CHE,2024-01-02 21:00:00,2024-01-02 22:00:00,28.8
Switzerland,CHE,2024-01-02 22:00:00,2024-01-02 23:00:00,18.01
Switzerland,CHE,2024-01-02 23:00:00,2024-01-03 00:00:00,19.45
Switzerland,CHE,2024-01-03 00:00:00,2024-01-03 01:00:00,15.14
Switzerland,CHE,2024-01-03 01:00:00,2024-01-03 02:00:00,11.35
Switzerland,CHE,2024-01-03 02:00:00,2024-01-03 03:00:00,11.32
Switzerland,CHE,2024-01-03 03:00:00,2024-01-03 04:00:00,11.3
Switzerland,CHE,2024-01-03 04:00:00,2024-01-03 05:00:00,23.61
Switzerland,CHE,2024-01-03 05:00:00,2024-01-03 06:00:00,51.91
Switzerland,CHE,2024-01-03 06:00:00,2024-01-03 07:00:00,60.02
Switzerland,CHE,2024-01-03 07:00:00,2024-01-03 08:00:00,62.07
Switzerland,CHE,2024-01-03 08:00:00,2024-01-03 09:00:00,62.88
Switzerland,CHE,2024-01-03 09:00:00,2024-01-03 10:00:00,58.6
Switzerland,CHE,2024-01-03 10:00:00,2024-01-03 11:00:00,56.22
Switzerland,CHE,2024-01-03 11:00:00,2024-01-03 12:00:00,60.03
Switzerland,CHE,2024-01-03 12:00:00,2024-01-03 13:00:00,64.96
Switzerland,CHE,2024-01-03 13:00:00,2024-01-03 14:00:00,71.69
Switzerland,CHE,2024-01-03 14:00:00,2024-01-03 15:00:00,78.19
Switzerland,CHE,2024-01-03 15:00:00,2024-01-03 16:00:00,75.74
Switzerland,CHE,2024-01-03 16:00:00,2024-01-03 17:00:00,81.59
Switzerland,CHE,2024-01-03 17:00:00,2024-01-03 18:00:00,85.96
Switzerland,CHE,2024-01-03 18:00:00,2024-01-03 19:00:00,82.04
Switzerland,CHE,2024-01-03 19:00:00,2024-01-03 20:00:00,82.71
Switzerland,CHE,2024-01-03 20:00:00,2024-01-03 21:00:00,66.99
