Unnamed: 0,Mois,Demande totale de chaleur (MWh),Chauffage des locaux (MWh),Eau chaude sanitaire (MWh),Chaleur (centre énergétique) (MWh),Demande totale de froid (MWh),Refroidissement des locaux (MWh),Refroidissement de procédé (MWh),Refroidissement (centre énergétique) (MWh),Charges électriques (MWh),E-mobilité (MWh),Puissance de fonctionnement (MWh),Travail de pompe (MWh),Température de l'air (°C)
,"Lun, 01.01. 00:00",4067.2,3814.3,252.9,0,0,0,0,0,0,0,1124.3,0,0.2000000029802322
,"Lun, 01.01. 01:00",4130.6,3981.1,149.5,0,0,0,0,0,0,0,1134.2,0,0
,"Lun, 01.01. 02:00",3804.5,3724.3,80.2,0,0,0,0,0,0,0,1042.3,0,-0.2000000029802322
,"Lun, 01.01. 03:00",4118.1,4081,37.1,0,0,0,0,0,0,0,1127.6,0,-0.5
,"Lun, 01.01. 04:00",4162.6,4082.5,80.1,0,0,0,0,0,0,0,1117.5,0,0.4000000059604645
,"Lun, 01.01. 05:00",6146.1,6063.6,82.5,0,0,0,0,0,0,0,1649.2,0,-0.1000000014901161
,"Lun, 01.01. 06:00",8387.1,8278,109.1,0,0,0,0,0,0,0,2208.7,0,0.300000011920929
,"Lun, 01.01. 07:00",8108.5,7885.6,222.9,0,0,0,0,0,0,0,2224.1,0,-0.4000000059604645
,"Lun, 01.01. 08:00",7867.2,7282.4,584.8,0,0,0,0,0,0,0,2209.5,0,-0.1000000014901161
,"Lun, 01.01. 09:00",8075.1,6935.8,1139.3,0,0,0,0,0,0,0,2294.5,0,0.6000000238418579
,"Lun, 01.01. 10:00",7788.9,6558.4,1230.5,0,0,0,0,0,0,0,2178.6,0,1.5
,"Lun, 01.01. 11:00",7137.3,5921.8,1215.5,0,0,0,0,0,0,0,1955.1,0,2.5
,"Lun, 01.01. 12:00",6465.7,5381.8,1083.9,0,0,0,0,0,0,0,1702.5,0,4
,"Lun, 01.01. 13:00",6033.8,5175.7,858.1,0,0,0,0,0,0,0,1558.9,0,4.199999809265137
,"Lun, 01.01. 14:00",6396.4,5562.7,833.7,0,0,0,0,0,0,0,1636.4,0,4.400000095367432
,"Lun, 01.01. 15:00",6506,5780.7,725.3,0,0,0,0,0,0,0,1667.7,0,3.900000095367432
,"Lun, 01.01. 16:00",6310.9,5656.3,654.6,0,0,0,0,0,0,0,1631.7,0,3.400000095367432
,"Lun, 01.01. 17:00",6262,5583.5,678.5,0,0,0,0,0,0,0,1618,0,3.400000095367432
,"Lun, 01.01. 18:00",6767.2,6017.3,749.9,0,0,0,0,0,0,0,1770.3,0,2.900000095367432
,"Lun, 01.01. 19:00",7154.6,6348.5,806.1,0,0,0,0,0,0,0,1871,0,2.799999952316284
,"Lun, 01.01. 20:00",7224.3,6447.9,776.4,0,0,0,0,0,0,0,1871,0,2.900000095367432
,"Lun, 01.01. 21:00",7242.7,6540,702.7,0,0,0,0,0,0,0,1827.4,0,3.400000095367432
,"Lun, 01.01. 22:00",4347.3,3814,533.3,0,0,0,0,0,0,0,1140.4,0,3
,"Lun, 01.01. 23:00",3833,3496.6,336.4,0,0,0,0,0,0,0,1018.9,0,2.099999904632568
,"Mar, 02.01. 00:00",3476.4,3245,231.4,0,0,0,0,0,0,0,896.9,0,2.799999952316284
,"Mar, 02.01. 01:00",3508.9,3384,124.9,0,0,0,0,0,0,0,899.7,0,2.5
,"Mar, 02.01. 02:00",3219.8,3183.4,36.4,0,0,0,0,0,0,0,806.8,0,2.900000095367432
,"Mar, 02.01. 03:00",3622.9,3583.7,39.2,0,0,0,0,0,0,0,911.3,0,2.700000047683716
,"Mar, 02.01. 04:00",4129.9,4001.5,128.4,0,0,0,0,0,0,0,1048.4,0,2.700000047683716
,"Mar, 02.01. 05:00",5631.4,5296.2,335.2,0,0,0,0,0,0,0,1438.3,0,2.5
,"Mar, 02.01. 06:00",8902.4,7866.1,1036.3,0,0,0,0,0,0,0,2324.9,0,2.599999904632568
,"Mar, 02.01. 07:00",8152.8,7141.6,1011.2,0,0,0,0,0,0,0,2148.6,0,2.900000095367432
,"Mar, 02.01. 08:00",7375.5,6486.9,888.6,0,0,0,0,0,0,0,1977,0,2.5
,"Mar, 02.01. 09:00",7003.5,6270.4,733.1,0,0,0,0,0,0,0,1895.3,0,1.799999952316284
,"Mar, 02.01. 10:00",6273.2,5645.3,627.9,0,0,0,0,0,0,0,1657.3,0,2.599999904632568
,"Mar, 02.01. 11:00",6029.1,5454.2,574.9,0,0,0,0,0,0,0,1591.8,0,2.5
,"Mar, 02.01. 12:00",5385.4,4810.1,575.3,0,0,0,0,0,0,0,1321.3,0,5.400000095367432
,"Mar, 02.01. 13:00",5488.1,4915.3,572.8,0,0,0,0,0,0,0,1327,0,5.800000190734863
,"Mar, 02.01. 14:00",5013.2,4514.4,498.8,0,0,0,0,0,0,0,1216,0,5.699999809265137
,"Mar, 02.01. 15:00",5735.8,5229.5,506.3,0,0,0,0,0,0,0,1452.2,0,3.900000095367432
,"Mar, 02.01. 16:00",6215.6,5672.8,542.8,0,0,0,0,0,0,0,1632.4,0,2.5
,"Mar, 02.01. 17:00",6747.6,6055.3,692.3,0,0,0,0,0,0,0,1822.3,0,1.700000047683716
,"Mar, 02.01. 18:00",7549.1,6734.6,814.5,0,0,0,0,0,0,0,2060.7,0,1.299999952316284
,"Mar, 02.01. 19:00",7483.7,6479.4,1004.3,0,0,0,0,0,0,0,1986.4,0,2.700000047683716
,"Mar, 02.01. 20:00",7546.1,6508,1038.1,0,0,0,0,0,0,0,2006.1,0,2.5
,"Mar, 02.01. 21:00",7742.1,6693.7,1048.4,0,0,0,0,0,0,0,2076.4,0,2
,"Mar, 02.01. 22:00",4717.8,4156.4,561.4,0,0,0,0,0,0,0,1310.4,0,0.800000011920929
,"Mar, 02.01. 23:00",4581.2,4233.7,347.5,0,0,0,0,0,0,0,1307.7,0,-0.8999999761581421
,"Mer, 03.01. 00:00",4477.9,4237.3,240.6,0,0,0,0,0,0,0,1253.5,0,-0.5
,"Mer, 03.01. 01:00",3997.8,3880.3,117.5,0,0,0,0,0,0,0,1102.4,0,-0.300000011920929
,"Mer, 03.01. 02:00",4205.9,4168.8,37.1,0,0,0,0,0,0,0,1165.2,0,-0.800000011920929
,"Mer, 03.01. 03:00",4239,4204.1,34.9,0,0,0,0,0,0,0,1197.8,0,-1.700000047683716
,"Mer, 03.01. 04:00",5319.9,5195.2,124.7,0,0,0,0,0,0,0,1530.4,0,-2.200000047683716
,"Mer, 03.01. 05:00",7992.2,7607.9,384.3,0,0,0,0,0,0,0,2266.3,0,-1.600000023841858
,"Mer, 03.01. 06:00",11114.7,10058.7,1056,0,0,0,0,0,0,0,3252,0,-2.200000047683716
,"Mer, 03.01. 07:00",10635.7,9563.3,1072.4,0,0,0,0,0,0,0,3141.9,0,-2
,"Mer, 03.01. 08:00",8775.2,7904.3,870.9,0,0,0,0,0,0,0,2585,0,-1.600000023841858
,"Mer, 03.01. 09:00",7393.3,6732.8,660.5,0,0,0,0,0,0,0,2130.6,0,-0.8999999761581421
,"Mer, 03.01. 10:00",7900.6,7227.5,673.1,0,0,0,0,0,0,0,2218.4,0,0
,"Mer, 03.01. 11:00",6825.4,6244.4,581,0,0,0,0,0,0,0,1844.1,0,1.5
,"Mer, 03.01. 12:00",6548.4,5967.1,581.3,0,0,0,0,0,0,0,1721.4,0,2.599999904632568
,"Mer, 03.01. 13:00",6542.6,5975.4,567.2,0,0,0,0,0,0,0,1693.2,0,3.099999904632568
,"Mer, 03.01. 14:00",6516.2,5965.1,551.1,0,0,0,0,0,0,0,1660.4,0,3.700000047683716
,"Mer, 03.01. 15:00",6355.1,5843.6,511.5,0,0,0,0,0,0,0,1613,0,3.700000047683716
,"Mer, 03.01. 16:00",6757.7,6198.4,559.3,0,0,0,0,0,0,0,1728.8,0,3.400000095367432
,"Mer, 03.01. 17:00",7910.5,7147.6,762.9,0,0,0,0,0,0,0,2091,0,2.400000095367432
,"Mer, 03.01. 18:00",7682.5,6907.5,775,0,0,0,0,0,0,0,2054.4,0,1.899999976158142
,"Mer, 03.01. 19:00",8661.8,7616.8,1045,0,0,0,0,0,0,0,2326.9,0,2
,"Mer, 03.01. 20:00",8975.4,7895,1080.4,0,0,0,0,0,0,0,2483.1,0,0.699999988079071
,"Mer, 03.01. 21:00",7589.1,6682.7,906.4,0,0,0,0,0,0,0,2101.8,0,0.4000000059604645
,"Mer, 03.01. 22:00",5310.9,4726.8,584.1,0,0,0,0,0,0,0,1502.1,0,-0.1000000014901161
,"Mer, 03.01. 23:00",4217.2,3893.1,324.1,0,0,0,0,0,0,0,1180.8,0,-0.1000000014901161
,"Jeu, 04.01. 00:00",4422.7,4191.2,231.5,0,0,0,0,0,0,0,1254.8,0,-1
,"Jeu, 04.01. 01:00",4214.8,4096.2,118.6,0,0,0,0,0,0,0,1186.9,0,-1.100000023841858
,"Jeu, 04.01. 02:00",4649.1,4609.9,39.2,0,0,0,0,0,0,0,1312.6,0,-1.600000023841858
,"Jeu, 04.01. 03:00",4581.3,4542.8,38.5,0,0,0,0,0,0,0,1278.6,0,-1.200000047683716
,"Jeu, 04.01. 04:00",5232.9,5109.8,123.1,0,0,0,0,0,0,0,1498.5,0,-2
,"Jeu, 04.01. 05:00",7341.7,6988.6,353.1,0,0,0,0,0,0,0,2076.6,0,-1.5
,"Jeu, 04.01. 06:00",10032.1,9075,957.1,0,0,0,0,0,0,0,2906.5,0,-1.799999952316284
,"Jeu, 04.01. 07:00",10908.9,9806.4,1102.5,0,0,0,0,0,0,0,3200.1,0,-1.700000047683716
,"Jeu, 04.01. 08:00",8984.5,8104.4,880.1,0,0,0,0,0,0,0,2670.5,0,-2
,"Jeu, 04.01. 09:00",7179.4,6533.1,646.3,0,0,0,0,0,0,0,2046.6,0,-0.5
,"Jeu, 04.01. 10:00",7361.2,6740.3,620.9,0,0,0,0,0,0,0,2076.2,0,-0.2000000029802322
