bus,P_pv,Q_pv
0,0.10878562053121539,0.0357561043406299
1,0.020792349642061225,0.006834114836666951
2,0.03516779123569719,0.011559093993422198
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.021158843050843798,0.006954575394786602
7,0.0,0.0
8,0.04474741335591699,0.014707763517958288
9,0.0,0.0
10,0.08083386762378021,0.02656880744806888
11,0.0,0.0
12,0.03179203237653345,0.010449535713498345
13,0.05447052825681039,0.017903596838709707
14,0.0772957955836721,0.02540589940550759
15,0.03006943786088613,0.009883346276536788
16,0.09954654655911305,0.032719367579428116
17,0.09849870101059073,0.0323749574029464
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.12244285064095757,0.04024501879847234
22,0.07668556066029555,0.02520532488576868
23,0.10859457162246013,0.035693309601010276
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.11998836936920741,0.039438269817988855
30,0.0,0.0
31,0.0,0.0
32,0.09422079052644866,0.03096887622343089
33,0.11831910544399377,0.03888960929842265
34,0.03359491958944614,0.011042116083812966
35,0.0,0.0
36,0.0298124594774103,0.009798881566513724
37,0.08027156564704029,0.02638398772600381
38,0.0,0.0
39,0.04409514836470373,0.01449337438298186
40,0.0,0.0
41,0.0,0.0
42,0.062120115430081224,0.02041789455374394
43,0.11148925030532397,0.03664474447366771
44,0.08613092179728613,0.028309864959171635
45,0.0,0.0
46,0.0864206944688304,0.02840510863042345
47,0.0,0.0
48,0.03055702274739756,0.010043607678658535
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.06621701115569877,0.021764479059329652
53,0.10980341127970936,0.036090635982057966
54,0.0,0.0
55,0.0,0.0
56,0.11208990661644426,0.03684217065580832
57,0.09469242577237626,0.031123895232209414
58,0.018259656224992468,0.006001658767185308
59,0.03917800488226725,0.012877187477421144
60,0.0,0.0
61,0.0,0.0
62,0.0659025424688162,0.021661118200374883
63,0.0577956131333529,0.018996499385999854
64,0.0,0.0
65,0.025394996651768628,0.0083469317505068
66,0.0,0.0
67,0.0,0.0
68,0.03300150440905011,0.010847069946244943
69,0.020579495272216072,0.006764152988580986
70,0.0,0.0
71,0.0,0.0
72,0.0234338164652229,0.0077023229957975
73,0.025826883503579767,0.008488886093932859
74,0.05503975822200954,0.018090693680462185
75,0.0,0.0
76,0.0,0.0
